id,count
0,108.31
1,217.0
2,81.08
4,32.18
5,68.19
10,122.26
11,200.88
12,307.68
15,41.35
17,128.7
18,308.75
23,243.21
25,96.8
26,37.37
31,197.11
39,162.24
40,27.39
41,157.41
42,354.68
43,159.04
51,212.52
52,89.16
54,16.5
60,142.75
61,140.59
62,113.56
63,27.24
65,115.57
66,111.47
68,150.74
71,74.71
80,30.75
82,59.29
94,129.27
98,272.96
101,33.66
102,137.2
107,116.62
112,239.64
113,77.7
115,58.63
116,120.4
120,152.68
121,84.76
122,330.11
132,191.69
143,89.98
147,63.47
150,17.16
151,88.27
152,225.74
153,92.28
155,159.09
156,89.07
159,189.09
161,123.44
163,45.63
177,175.56
186,13.56
188,18.48
190,91.19
191,77.79
192,263.82
195,318.3
200,145.76
209,317.66
210,16.0
211,214.85
214,119.95
215,27.54
218,97.55
219,30.44
222,134.61
225,14.83
228,319.33
236,213.68
241,37.83
242,174.04
243,228.93
245,19.07
247,250.06
251,130.48
252,91.35
253,84.74
254,90.56
258,316.26
260,47.87
261,170.83
265,113.01
266,280.22
267,300.83
269,153.85
270,66.26
275,99.2
278,34.43
279,84.23
286,92.98
287,28.64
288,227.3
289,144.46
293,17.76
294,151.57
297,34.84
302,122.89
303,71.79
304,68.67
307,97.56
309,16.72
311,174.13
312,120.92
314,175.22
315,236.29
319,165.12
322,119.66
323,63.01
325,139.03
327,244.62
330,33.78
332,192.16
333,16.75
338,101.13
341,111.81
345,169.39
348,129.44
349,45.61
350,118.93
352,61.01
355,14.96
356,227.46
358,63.53
363,133.46
369,161.52
371,17.87
372,136.19
375,301.65
380,132.65
388,45.98
391,146.69
392,250.27
393,371.82
394,204.01
396,28.17
401,35.58
407,106.59
409,91.11
410,115.58
416,96.0
418,119.24
420,148.37
421,226.46
422,131.78
424,288.47
428,328.82
429,227.12
431,156.02
435,11.53
439,111.63
441,13.07
447,94.52
449,146.53
451,145.05
452,16.98
454,212.54
458,221.76
463,122.04
467,14.6
470,223.58
471,159.01
474,289.19
478,16.54
483,126.09
484,135.56
485,85.57
486,130.21
491,96.3
494,97.4
495,231.75
497,202.38
499,155.75
515,112.41
518,216.54
521,176.01
525,163.92
529,237.25
532,148.53
534,109.57
540,113.05
544,288.35
547,166.38
549,44.57
563,33.76
564,143.66
567,122.72
572,106.17
577,126.92
578,268.86
585,338.5
588,146.99
589,128.16
590,108.06
592,17.14
594,226.78
596,14.75
598,345.36
599,142.4
605,37.2
606,132.28
607,252.28
608,223.18
609,63.97
610,283.09
611,194.85
614,130.06
615,228.78
616,250.93
617,128.96
618,238.33
624,118.88
629,136.66
631,93.88
633,104.81
637,25.63
638,102.5
643,66.3
644,140.07
645,34.77
646,209.86
648,190.14
650,37.18
651,209.54
652,277.24
656,112.5
657,19.02
659,76.42
660,191.76
662,100.82
665,369.18
675,326.17
681,161.58
682,200.98
685,20.71
686,211.36
689,25.26
696,127.5
703,146.84
704,95.71
705,116.87
714,236.56
717,106.13
718,14.99
720,85.37
721,246.58
723,233.76
726,189.72
728,139.81
730,204.68
731,28.74
734,330.44
737,73.46
738,17.85
745,177.24
746,27.74
749,242.47
752,26.77
753,178.23
758,246.43
765,16.6
766,225.17
768,88.22
769,180.92
774,128.23
775,105.56
781,58.34
784,326.98
794,19.08
795,274.56
796,86.39
802,135.93
803,226.2
805,32.36
806,290.72
807,101.57
809,16.03
810,154.3
812,205.79
814,114.99
818,248.61
819,136.36
825,72.99
836,114.04
839,116.32
847,268.68
848,189.38
851,123.42
852,134.48
853,33.81
857,141.0
858,43.13
859,218.45
861,24.45
867,95.52
870,210.09
871,203.71
872,225.88
874,352.45
881,192.12
886,131.41
890,62.98
895,159.0
899,90.13
900,275.19
901,253.5
902,234.73
903,44.64
913,265.18
918,202.67
923,118.65
924,35.23
926,26.41
927,18.08
930,213.4
934,30.88
937,127.6
939,152.22
941,92.65
942,369.59
946,279.07
950,95.05
953,88.76
959,108.07
961,27.87
962,99.22
964,85.74
969,188.69
971,142.51
976,42.4
978,253.61
980,239.9
981,146.9
990,365.24
993,18.37
996,20.04
998,322.95
999,184.55
1006,121.13
1008,15.55
1013,30.7
1015,96.8
1016,121.66
1022,301.78
1026,216.25
1028,228.27
1031,76.49
1034,46.21
1037,190.57
1040,66.32
1042,19.13
1046,18.65
1048,101.24
1049,112.42
1050,59.77
1051,216.77
1052,241.83
1055,186.87
1060,155.43
1064,28.61
1066,77.33
1071,98.95
1073,13.99
1089,214.9
1091,102.52
1092,76.82
1093,238.62
1096,318.49
1097,222.0
1098,17.44
1099,34.75
1102,186.41
1107,112.42
1109,44.26
1111,126.82
1112,117.74
1114,316.86
1116,296.25
1117,121.87
1118,82.06
1122,137.67
1124,162.86
1127,122.47
1133,231.72
1134,33.31
1135,123.41
1139,308.34
1143,53.72
1150,122.64
1151,113.05
1153,278.04
1155,27.37
1162,28.22
1163,209.26
1166,20.73
1171,88.3
1172,15.8
1173,266.24
1174,78.86
1177,118.11
1178,139.18
1184,179.86
1185,115.2
1186,120.8
1187,168.27
1188,280.54
1191,134.94
1207,121.9
1213,45.88
1215,129.84
1223,168.49
1227,116.9
1236,58.95
1237,60.96
1238,18.65
1241,30.77
1248,16.54
1250,38.41
1251,165.59
1253,115.28
1255,98.62
1257,170.24
1261,116.3
1262,342.58
1265,136.14
1273,177.01
1277,262.9
1278,118.25
1280,118.33
1284,225.68
1285,330.32
1288,36.05
1295,113.01
1297,346.99
1299,254.03
1304,150.01
1308,42.36
1310,94.09
1311,117.53
1314,93.23
1315,109.11
1318,29.26
1320,319.08
1321,298.4
1322,235.86
1330,112.56
1333,165.78
1334,230.82
1341,132.54
1344,139.34
1351,233.05
1354,104.5
1356,59.83
1363,118.69
1365,203.79
1369,126.74
1373,115.19
1375,116.56
1377,87.98
1379,128.12
1380,287.39
1381,96.91
1384,183.43
1390,186.58
1393,241.52
1395,53.15
1399,326.98
1400,89.34
1401,161.2
1404,170.29
1408,14.68
1409,27.02
1413,218.19
1416,284.06
1418,102.46
1423,102.46
1424,26.33
1425,16.54
1433,250.81
1434,134.77
1436,325.07
1442,248.32
