id,count
0,92.16
1,229.65
2,87.42
4,31.64
5,72.68
10,128.94
11,168.95
12,316.5
15,35.05
17,118.76
18,304.63
23,263.63
25,107.51
26,37.06
31,213.86
39,154.56
40,25.12
41,192.93
42,369.92
43,166.53
51,213.37
52,79.81
54,14.5
60,146.77
61,155.32
62,118.0
63,29.7
65,122.82
66,112.8
68,160.08
71,62.93
80,27.98
82,73.74
94,134.79
98,272.06
101,31.28
102,135.47
107,82.16
112,222.49
113,63.8
115,48.74
116,124.43
120,160.33
121,87.87
122,327.68
132,189.7
143,81.15
147,68.16
150,17.54
151,87.94
152,247.64
153,93.11
155,162.17
156,83.85
159,203.69
161,124.42
163,41.43
177,177.85
186,14.56
188,16.91
190,98.09
191,80.72
192,272.41
195,309.48
200,134.9
209,308.22
210,14.88
211,228.24
214,130.31
215,25.47
218,101.02
219,32.4
222,128.32
225,13.91
228,313.79
236,236.02
241,35.15
242,174.39
243,238.01
245,16.49
247,247.98
251,127.99
252,92.55
253,85.57
254,89.64
258,326.64
260,56.45
261,167.25
265,113.76
266,277.01
267,304.6
269,145.16
270,72.55
275,101.54
278,39.29
279,86.54
286,102.55
287,29.55
288,235.42
289,137.63
293,16.89
294,144.62
297,41.42
302,120.37
303,57.13
304,77.66
307,100.31
309,17.06
311,168.01
312,115.8
314,182.55
315,245.64
319,164.94
322,122.39
323,71.6
325,130.41
327,236.76
330,35.81
332,212.91
333,17.21
338,102.13
341,111.15
345,197.17
348,133.97
349,44.45
350,118.84
352,53.13
355,16.77
356,218.39
358,53.97
363,131.75
369,159.24
371,19.85
372,139.75
375,304.49
380,132.05
388,43.63
391,133.34
392,267.58
393,364.41
394,199.61
396,25.98
401,36.69
407,109.37
409,90.47
410,115.37
416,107.4
418,122.27
420,161.35
421,203.66
422,127.91
424,290.66
428,326.0
429,214.63
431,162.21
435,13.23
439,114.01
441,15.47
447,94.8
449,144.9
451,143.63
452,17.24
454,221.88
458,205.87
463,124.94
467,15.3
470,240.78
471,162.12
474,293.32
478,17.45
483,122.34
484,128.1
485,81.96
486,129.44
491,99.61
494,103.33
495,243.58
497,214.19
499,171.93
515,116.14
518,210.23
521,185.5
525,165.74
529,257.5
532,142.43
534,108.69
540,111.68
544,293.99
547,157.73
549,43.47
563,34.07
564,136.15
567,123.99
572,115.7
577,125.37
578,281.85
585,338.83
588,148.69
589,115.98
590,106.36
592,16.75
594,240.01
596,14.84
598,336.77
599,144.0
605,34.26
606,129.9
607,264.45
608,227.2
609,68.15
610,289.66
611,189.85
614,129.24
615,218.56
616,250.78
617,123.44
618,250.92
624,117.05
629,136.94
631,90.97
633,89.0
637,25.66
638,106.16
643,63.99
644,135.74
645,36.26
646,210.99
648,198.28
650,39.33
651,209.92
652,274.6
656,108.66
657,18.83
659,78.38
660,213.67
662,100.73
665,364.12
675,324.67
681,163.21
682,208.38
685,24.08
686,225.48
689,25.26
696,136.75
703,147.83
704,100.76
705,121.52
714,233.22
717,102.4
718,15.03
720,96.62
721,274.35
723,235.03
726,185.74
728,140.32
730,209.16
731,27.72
734,338.87
737,85.56
738,18.5
745,176.42
746,26.31
749,231.94
752,26.01
753,166.93
758,234.89
765,17.96
766,236.48
768,89.02
769,186.98
774,132.95
775,107.87
781,53.98
784,328.53
794,17.76
795,281.97
796,72.74
802,161.49
803,220.57
805,32.0
806,291.26
807,101.97
809,16.16
810,170.85
812,197.4
814,115.14
818,250.4
819,136.16
825,79.68
836,111.42
839,121.9
847,267.33
848,177.9
851,120.28
852,132.86
853,32.6
857,144.55
858,41.51
859,235.88
861,21.47
867,104.2
870,228.5
871,224.59
872,211.94
874,355.77
881,213.29
886,130.0
890,56.57
895,172.7
899,88.71
900,277.62
901,262.69
902,235.3
903,42.25
913,253.37
918,202.94
923,116.96
924,35.92
926,27.62
927,18.65
930,218.23
934,30.39
937,124.91
939,135.54
941,93.99
942,370.54
946,280.77
950,99.72
953,94.14
959,102.95
961,30.52
962,98.2
964,76.96
969,189.3
971,144.31
976,38.28
978,248.9
980,232.46
981,150.24
990,369.28
993,18.96
996,18.68
998,324.8
999,193.55
1006,116.65
1008,15.84
1013,26.62
1015,99.33
1016,121.36
1022,303.77
1026,221.51
1028,250.4
1031,61.51
1034,47.98
1037,210.59
1040,66.35
1042,18.3
1046,17.24
1048,98.77
1049,111.44
1050,69.4
1051,193.15
1052,230.39
1055,190.56
1060,153.09
1064,27.73
1066,69.45
1071,99.61
1073,15.07
1089,189.15
1091,94.08
1092,74.51
1093,237.13
1096,309.55
1097,221.65
1098,18.46
1099,36.46
1102,169.33
1107,108.37
1109,38.57
1111,126.06
1112,113.31
1114,307.25
1116,293.1
1117,121.21
1118,79.97
1122,137.45
1124,168.29
1127,119.52
1133,234.29
1134,36.28
1135,132.0
1139,302.84
1143,51.92
1150,120.3
1151,110.82
1153,280.71
1155,27.69
1162,29.52
1163,210.15
1166,24.11
1171,91.63
1172,15.16
1173,250.82
1174,78.45
1177,120.38
1178,150.26
1184,189.08
1185,108.79
1186,113.6
1187,167.03
1188,275.2
1191,129.83
1207,121.22
1213,44.92
1215,128.61
1223,176.6
1227,116.7
1236,51.29
1237,46.8
1238,18.76
1241,31.28
1248,16.58
1250,36.32
1251,165.78
1253,116.98
1255,97.96
1257,184.17
1261,118.13
1262,339.92
1265,130.66
1273,182.28
1277,270.22
1278,120.39
1280,112.31
1284,220.82
1285,330.57
1288,32.49
1295,113.58
1297,354.32
1299,253.42
1304,149.07
1308,42.94
1310,95.19
1311,125.82
1314,92.51
1315,112.35
1318,31.45
1320,316.76
1321,293.83
1322,236.82
1330,119.97
1333,170.72
1334,230.91
1341,137.49
1344,149.65
1351,234.68
1354,100.23
1356,46.82
1363,120.38
1365,199.92
1369,131.06
1373,117.82
1375,111.62
1377,90.32
1379,135.89
1380,276.09
1381,96.51
1384,186.58
1390,184.51
1393,237.74
1395,47.71
1399,315.53
1400,94.67
1401,170.85
1404,181.12
1408,13.64
1409,29.49
1413,220.6
1416,280.73
1418,100.34
1423,104.47
1424,27.26
1425,15.93
1433,241.41
1434,144.25
1436,323.54
1442,240.08
1444,88.21
1445,115.67
1452,199.92
1455,167.58
1462,66.15
1467,73.57
1472,44.21
1475,192.17
1493,116.9
1501,225.74
1503,295.2
1504,223.4
1505,15.48
1511,215.61
1512,49.63
1513,87.04
1514,35.3
1528,241.47
1533,242.4
1534,29.71
1536,146.75
1537,75.89
1539,234.2
1550,215.02
1552,213.05
1554,202.28
1555,357.14
1556,98.79
1559,35.18
1563,242.7
1566,148.14
1567,148.01
1568,29.89
1571,234.74
1572,17.77
1574,47.81
1577,17.36
1583,75.82
1585,30.9
1586,193.32
1587,191.82
1596,155.42
1602,37.44
1604,79.06
1605,32.65
1610,306.67
1611,97.2
1616,33.73
1617,100.79
1618,16.04
1622,43.0
1623,31.31
1628,308.99
1631,17.26
1632,186.03
1633,246.34
1634,316.47
1636,225.26
1637,101.21
1643,130.96
1644,101.39
1646,100.43
1648,217.04
1651,33.75
1656,19.49
1658,148.5
1659,17.78
1665,177.07
1666,143.01
1670,38.55
1674,154.92
1679,197.55
1680,223.6
1683,333.16
1686,27.98
1691,98.87
1693,37.1
1696,39.06
1697,98.58
1703,103.13
1706,26.99
1709,174.74
1710,88.91
1712,198.31
1713,127.17
1718,329.89
1719,174.66
1722,276.92
1723,132.77
1724,289.1
1728,62.49
1730,29.85
1732,26.99
1737,34.98
1745,88.42
1747,14.99
1748,14.97
1755,101.15
1759,17.38
1761,271.56
1764,226.87
1765,154.5
1766,90.04
1768,101.4
1770,29.81
1771,140.54
1774,93.25
1785,131.1
1788,184.2
1792,15.79
1794,227.47
1797,121.69
1798,14.87
1799,268.69
1802,101.37
1806,46.36
1808,90.67
1810,251.62
1818,112.55
1819,371.88
1820,284.68
1822,229.02
1826,223.23
1827,182.75
1835,18.13
1841,114.84
1842,149.93
1843,17.25
1846,45.95
1849,89.94
1850,232.9
1851,194.56
1857,52.96
1858,183.43
1860,96.71
1861,241.87
1864,118.06
1869,312.13
1871,65.16
1872,31.12
1875,17.63
1878,223.97
1879,249.65
1885,90.89
1888,110.17
1889,30.63
1890,93.98
1896,146.33
1897,185.65
1898,122.83
1900,98.0
1905,37.06
1908,116.81
1909,103.77
1913,67.97
1918,111.34
1922,312.23
1923,135.82
1925,263.05
1926,137.54
1927,300.27
1930,194.52
1935,60.79
1939,118.65
1942,95.54
1943,197.2
1948,263.49
1949,263.69
1951,106.06
1953,119.99
1959,130.23
1963,17.28
1967,126.25
1973,263.18
1975,26.89
1976,88.98
1990,119.31
1993,116.97
1997,173.36
1999,131.46
2001,296.73
2004,88.71
2010,106.88
2013,132.55
2017,295.84
2021,113.72
2023,144.64
2026,143.12
2037,31.54
2039,171.51
2041,17.18
2046,29.75
2050,17.57
2060,229.48
2067,102.38
2069,164.6
2072,244.64
2074,147.42
2079,116.61
2083,26.83
2085,173.23
2087,17.36
2093,148.72
2094,30.56
2097,35.72
2103,97.97
2104,53.02
2107,220.68
2108,19.65
2110,98.84
2115,195.07
2117,30.55
2125,308.43
2127,263.66
2133,15.9
2134,364.74
2135,123.11
2141,259.3
2143,40.42
2145,87.48
2146,29.81
2147,280.11
2148,58.52
2149,69.09
2165,123.72
2166,162.98
2177,179.84
