id,count
0,96.6
1,223.17
2,77.51
4,28.4
5,72.46
10,118.96
11,211.06
12,325.97
15,37.26
17,120.22
18,297.86
23,242.22
25,96.32
26,38.17
31,201.07
39,162.9
40,28.44
41,158.08
42,363.93
43,160.71
51,234.15
52,84.49
54,16.79
60,142.47
61,137.76
62,112.48
63,28.59
65,116.39
66,111.96
68,143.22
71,74.48
80,30.92
82,56.25
94,131.21
98,276.65
101,32.12
102,131.69
107,104.34
112,234.1
113,75.05
115,53.91
116,120.99
120,159.24
121,82.94
122,339.07
132,187.33
143,91.32
147,57.25
150,18.52
151,87.26
152,227.04
153,90.75
155,160.99
156,84.6
159,184.99
161,135.74
163,43.24
177,176.1
186,14.63
188,19.94
190,99.4
191,82.42
192,265.58
195,320.22
200,140.84
209,312.83
210,15.99
211,232.27
214,118.26
215,26.43
218,101.1
219,32.84
222,120.03
225,14.62
228,332.08
236,230.82
241,37.26
242,180.99
243,229.02
245,18.94
247,243.77
251,127.86
252,89.17
253,83.92
254,91.32
258,309.45
260,41.53
261,170.6
265,108.28
266,268.52
267,306.01
269,155.47
270,61.37
275,102.3
278,33.9
279,85.23
286,105.46
287,29.32
288,214.42
289,137.37
293,18.84
294,140.04
297,37.36
302,119.65
303,69.36
304,72.49
307,99.92
309,17.74
311,169.99
312,121.52
314,174.24
315,242.09
319,158.58
322,117.56
323,58.71
325,121.96
327,235.61
330,32.52
332,195.1
333,17.62
338,100.73
341,109.44
345,180.37
348,123.39
349,43.66
350,116.56
352,52.47
355,16.45
356,237.8
358,55.61
363,130.03
369,170.75
371,19.77
372,130.02
375,306.29
380,121.58
388,42.55
391,140.28
392,258.53
393,372.23
394,197.13
396,28.52
401,36.5
407,107.15
409,89.12
410,111.22
416,106.26
418,122.37
420,149.26
421,225.72
422,124.05
424,297.56
428,339.6
429,226.0
431,164.01
435,12.5
439,115.69
441,12.31
447,84.05
449,131.42
451,138.02
452,16.17
454,212.62
458,218.17
463,126.59
467,14.48
470,235.52
471,158.39
474,287.75
478,16.95
483,122.41
484,120.79
485,85.21
486,130.33
491,101.39
494,99.71
495,240.2
497,206.3
499,164.35
515,112.12
518,207.36
521,180.53
525,153.08
529,242.45
532,141.2
534,112.32
540,114.88
544,304.31
547,169.49
549,42.94
563,36.09
564,137.77
567,120.59
572,110.79
577,124.62
578,266.16
585,352.14
588,139.52
589,116.39
590,108.29
592,16.93
594,196.99
596,14.46
598,348.69
599,140.54
605,33.89
606,130.9
607,243.38
608,218.37
609,59.93
610,282.69
611,176.83
614,127.61
615,215.13
616,246.62
617,122.02
618,239.41
624,119.68
629,138.53
631,95.71
633,89.21
637,24.33
638,108.84
643,70.89
644,139.44
645,33.42
646,210.26
648,171.16
650,37.79
651,187.54
652,267.9
656,116.01
657,18.07
659,75.19
660,212.4
662,98.83
665,378.51
675,325.15
681,164.31
682,193.72
685,21.8
686,220.36
689,25.03
696,138.94
703,144.79
704,100.04
705,135.07
714,225.6
717,99.4
718,14.53
720,89.92
721,260.89
723,233.64
726,181.73
728,139.2
730,201.99
731,27.61
734,344.93
737,69.74
738,18.83
745,166.27
746,28.27
749,230.32
752,26.5
