iter	RMSE
0	0.1726187722
1	0.1703957922
2	0.1678575465
3	0.165760309
4	0.1641760874
5	0.1624268941
6	0.1609908137
7	0.1591891369
8	0.1574093765
9	0.1561974016
10	0.1548246031
11	0.1536380336
12	0.1522149182
13	0.1514699348
14	0.1504017446
15	0.149449525
16	0.1485562954
17	0.147531817
18	0.1466578431
19	0.1455023668
20	0.1442644811
21	0.1432995571
22	0.1423243492
23	0.1416689636
24	0.141155977
25	0.1402513061
26	0.1393291668
27	0.1389025735
28	0.1382352189
29	0.1377305327
30	0.1368549204
31	0.1359554637
32	0.1354828584
33	0.1348478398
34	0.1344806392
35	0.1339619588
36	0.1333876334
37	0.13315155
38	0.1324960697
39	0.1321169594
40	0.1315432874
41	0.1311827244
42	0.1306866228
43	0.1304930241
44	0.1298105926
45	0.1292831808
46	0.1290690309
47	0.1286293162
48	0.1282739202
49	0.1280620474
50	0.12776154
51	0.1275479486
52	0.127129665
53	0.1268559745
54	0.1266895078
55	0.1264114233
56	0.1261013898
57	0.1259706324
58	0.1257592355
59	0.1253430468
60	0.125103393
61	0.1249313626
62	0.1247756267
63	0.124472406
64	0.1241191364
65	0.1237284639
66	0.1232896944
67	0.1229676555
68	0.1225841658
69	0.1223690632
70	0.1221825119
71	0.1219207573
72	0.1216813199
73	0.1213490887
74	0.1211428054
75	0.1208087078
76	0.1206711765
77	0.120391355
78	0.120243607
79	0.1200644983
80	0.1199028702
81	0.1198226173
82	0.1197297374
83	0.1196410002
84	0.1194166872
85	0.1192501735
86	0.1191221248
87	0.1190274658
88	0.1189497781
89	0.1188067414
90	0.1186905951
91	0.1185692426
92	0.1183552739
93	0.1181224302
94	0.1180673666
95	0.1178206304
96	0.1176741379
97	0.1175317332
98	0.1172639638
99	0.1171357764
100	0.1168061074
101	0.1166810929
102	0.1164963957
103	0.1163890104
104	0.1162907249
105	0.1162044197
106	0.1160170142
107	0.115944947
108	0.1159006545
109	0.1158049173
110	0.115773466
111	0.1156625224
112	0.1155518485
113	0.1154466387
114	0.1153810529
115	0.115286231
116	0.115183663
117	0.1150873354
118	0.1150319722
119	0.1148657839
120	0.1147547423
121	0.1146888027
122	0.1145547978
123	0.1144095558
124	0.1143485344
125	0.1143016523
126	0.1141231214
127	0.1139568792
128	0.1139091108
129	0.113694184
130	0.1136001593
131	0.1133656018
132	0.1133385976
133	0.1132473779
134	0.1130727667
135	0.1129859365
136	0.1126662719
137	0.1124977786
138	0.1121929404
139	0.1120856071
140	0.1120505231
141	0.1119864302
142	0.1119268272
143	0.111862332
144	0.1118291274
145	0.111570802
146	0.1115014828
147	0.1113294961
148	0.1112928686
149	0.1111783445
150	0.1111179435
151	0.1110797017
152	0.1110373381
153	0.1109045716
154	0.1108194863
155	0.1107692331
156	0.1106694694
157	0.1106004795
158	0.1105811424
159	0.1103553641
160	0.1103230279
161	0.1102524464
162	0.1101609649
163	0.1100628028
164	0.1099223033
165	0.1097720289
166	0.1097188642
167	0.1096639939
168	0.1095780879
169	0.1093918276
170	0.1093727022
171	0.1093326071
172	0.1092900978
173	0.109213792
174	0.1091752754
175	0.109083737
176	0.1090193754
177	0.1089998233
178	0.1088480786
179	0.1087748133
180	0.1087216037
181	0.1086064652
182	0.1085995694
183	0.108553145
184	0.1085382503
185	0.1084280485
186	0.1082729863
187	0.1081727852
188	0.1081355088
189	0.1080318913
190	0.1078963
191	0.1077539115
192	0.1077041444
193	0.1076038462
194	0.1075177998
195	0.1074848908
196	0.1073398565
197	0.1071835144
198	0.1071277724
199	0.1071056734
200	0.1069979495
201	0.1069015175
202	0.1067345665
203	0.1067152347
204	0.1066427587
205	0.1066120553
206	0.1065319546
207	0.1063524751
208	0.1063384143
209	0.1062536664
210	0.1062192336
211	0.106175712
212	0.1060401302
213	0.106020908
214	0.1059849863
215	0.105978438
216	0.1059457609
217	0.1058466339
218	0.1058194193
219	0.1057570093
220	0.1057490806
221	0.1056852861
222	0.1055463531
223	0.1055288285
224	0.1055037812
225	0.1054968445
226	0.1054891112
227	0.1053850968
228	0.105342245
229	0.1052687302
230	0.1052431887
231	0.1052377028
232	0.105178664
233	0.1051495809
234	0.1051404396
235	0.1050815587
236	0.1049926135
237	0.1049509656
238	0.1048716764
239	0.104843118
240	0.1047778367
241	0.1045916552
242	0.1045486541
243	0.1044392646
244	0.1043314853
245	0.1043178336
246	0.1042821069
247	0.1041438438
248	0.1040866069
249	0.1040559768
250	0.1040173868
251	0.1039934608
252	0.1039643314
253	0.1039430219
254	0.1038816559
255	0.1038717275
256	0.1037812074
257	0.1036427628
258	0.1036183936
259	0.1035947912
260	0.1035715944
261	0.1034406023
262	0.1033984439
263	0.1032743365
264	0.1032244442
265	0.1032000869
266	0.1031540255
267	0.1030998754
268	0.1030763954
269	0.1029891287
270	0.1029569172
271	0.1028397513
272	0.1027484035
273	0.1027370011
274	0.1026943945
275	0.1026453794
276	0.1026381728
277	0.102502355
278	0.102450871
279	0.1023729892
280	0.1022366801
281	0.1021848969
282	0.1021317988
283	0.1021090497
284	0.1021032016
285	0.1019735584
286	0.101957439
287	0.1018113705
288	0.1018062126
289	0.1017584748
290	0.1017534403
291	0.1017484724
292	0.1017380668
293	0.1017238686
294	0.1017141445
295	0.1016538858
296	0.1016491774
297	0.1015284523
298	0.1015160345
299	0.1014805059
300	0.1014125728
301	0.1014032699
302	0.1013987756
303	0.1013932275
304	0.1012702187
305	0.1012614332
306	0.1012529663
307	0.1012397292
308	0.1012123628
309	0.1011486872
310	0.1011022393
311	0.1010919487
312	0.1010600454
313	0.1010558421
314	0.101029887
315	0.1009880798
316	0.1009786912
317	0.1008598592
318	0.100810244
319	0.1007716599
320	0.100715732
321	0.100675486
322	0.1006716026
323	0.1006369096
324	0.1006116485
325	0.1005980987
326	0.1005729775
327	0.1005528079
328	0.1005232135
329	0.1005145909
330	0.1005112072
331	0.1004713244
332	0.1004338686
333	0.1003181883
334	0.1003147858
335	0.1002825368
336	0.1002502981
337	0.1001339643
338	0.1000130424
339	0.09993306725
340	0.09991259027
341	0.09990919833
342	0.0999059066
343	0.09987574833
344	0.09984105812
345	0.0998223983
346	0.09971036498
347	0.09970309458
348	0.09956522812
349	0.09953747155
350	0.0995338153
351	0.09953029105
352	0.09940018788
353	0.09937395
354	0.0993434137
355	0.09919440593
356	0.09908428901
357	0.09906878246
358	0.09906610565
359	0.09904163235
360	0.09903363514
361	0.09902296026
362	0.09891924633
363	0.09889687896
364	0.09866730091
365	0.09863447525
366	0.09862374388
367	0.09861976466
368	0.09861398563
369	0.09853217437
370	0.09849349652
371	0.09840129947
372	0.09834175675
373	0.09820783999
374	0.0981791192
375	0.09817538689
376	0.0981042117
377	0.09807984419
378	0.09807325999
379	0.09793690627
380	0.09782523115
381	0.09778872089
382	0.0977672879
383	0.09772553801
384	0.09770705116
385	0.09750711832
386	0.09736908736
387	0.09733575836
388	0.09723061457
389	0.09720747364
390	0.09716980152
391	0.09704227103
392	0.09700718107
393	0.09687142986
394	0.0967571751
395	0.09653472127
396	0.09646391812
397	0.09644912283
398	0.09642897635
399	0.09642283294
400	0.0963801645
401	0.09637061821
402	0.09636096353
403	0.09635463432
404	0.09631279608
405	0.09620047915
406	0.096171784
407	0.09608234924
408	0.09605434363
409	0.09604744751
410	0.09598232085
411	0.09597676392
412	0.09578785215
413	0.09578212054
414	0.09566364372
415	0.09565140993
416	0.09549755023
417	0.09548824198
418	0.09546958285
419	0.09546064057
420	0.09544377089
421	0.09541653739
422	0.09531243925
423	0.09529315123
424	0.09525223489
425	0.09523120049
426	0.09520914783
427	0.09513643281
428	0.09511108072
429	0.09509330979
430	0.09505967475
431	0.09498296983
432	0.09495892202
433	0.09495270865
434	0.09493722924
435	0.09486568067
436	0.09485090451
437	0.09478294918
438	0.09471720802
439	0.09470392007
440	0.09469748395
441	0.09461535214
442	0.09460463882
443	0.09455765791
444	0.09449301597
445	0.09446634626
446	0.09444203737
447	0.09443684716
448	0.09440453966
449	0.09439210968
450	0.09432139418
451	0.09429855326
452	0.09429356076
453	0.09418462064
454	0.0941415662
455	0.0941213221
456	0.09405756675
457	0.09403279951
458	0.09400055437
459	0.09391300708
460	0.09385156972
461	0.09384639415
462	0.09370650767
463	0.09357870002
464	0.09354708487
465	0.09353227056
466	0.09344838363
467	0.09339231231
468	0.09330498513
469	0.09321946451
470	0.09320723596
471	0.09314807168
472	0.09310635476
473	0.0930866656
474	0.09304996245
475	0.09301881363
476	0.09294207162
477	0.09283905786
478	0.09278299353
479	0.09277187823
480	0.09271025659
481	0.0926813019
482	0.09265424832
483	0.09260004157
484	0.0925192115
485	0.09251113146
486	0.09247346097
487	0.09241864152
488	0.09239847698
489	0.09234242702
490	0.09227120519
491	0.09220410412
492	0.09209403418
493	0.09208184085
494	0.09205659625
495	0.09204829779
496	0.09203811734
497	0.09196626103
498	0.09194719711
499	0.0919420546
500	0.09192519645
501	0.09187263259
502	0.09177850002
503	0.09177286971
504	0.09176098661
505	0.09174405093
506	0.09163651526
507	0.09159929269
508	0.09151688671
509	0.09149158053
510	0.09148176499
511	0.09148078832
512	0.09147546983
513	0.09147450182
514	0.09136597122
515	0.09128587005
516	0.09122147103
517	0.091220357
518	0.09121220289
519	0.09119727746
520	0.09119631531
521	0.09112850858
522	0.09108658392
523	0.09103973827
524	0.09099184476
525	0.09095285379
526	0.09094962178
527	0.09088956184
528	0.09084454755
529	0.09079555416
530	0.09078815945
531	0.09076812583
532	0.09076492082
533	0.09075992153
534	0.09068453668
535	0.09066580025
536	0.09065531701
537	0.09054405486
538	0.090505817
539	0.090495963
540	0.09046717394
541	0.09045155636
542	0.09039518083
543	0.09023349181
544	0.09017926446
545	0.09015027976
546	0.08991372345
547	0.08974957568
548	0.08970125969
549	0.08967304321
550	0.08959981031
551	0.08946448808
552	0.08946145037
553	0.08945372486
554	0.0893201484
555	0.08926965569
556	0.08913322649
557	0.0891058923
558	0.0890563791
559	0.08905245196
560	0.08900278337
561	0.08899943344
562	0.0889668311
563	0.08888850322
564	0.08885218325
565	0.08870063613
566	0.08869627853
567	0.08868591751
568	0.08868391842
569	0.08867743765
570	0.08865781482
571	0.08858374252
572	0.08847469773
573	0.08847385593
574	0.08847101948
575	0.08845807545
576	0.08838376226
577	0.08837520585
578	0.08835478582
579	0.08832755629
580	0.08828198517
581	0.08826485365
582	0.08826410885
583	0.08826299015
584	0.08822595208
585	0.08821431185
586	0.08821357801
587	0.08821171361
588	0.0881655882
589	0.08810611148
590	0.08806345894
591	0.08792585208
592	0.08789623883
593	0.08787527395
594	0.08776779115
595	0.08772071225
596	0.08770808115
597	0.08770750315
598	0.08768460018
599	0.08765523072
600	0.08763038988
601	0.08760919962
602	0.08754583772
603	0.08752515888
604	0.08751791584
605	0.08750941106
606	0.08749918514
607	0.08747307849
608	0.08747218675
609	0.08743985334
610	0.08736961544
611	0.08736087458
612	0.08731812565
613	0.08724380113
614	0.08722696539
615	0.08721189051
616	0.08720043193
617	0.0871310645
618	0.08712982072
619	0.0871190905
620	0.08706288094
621	0.08702273635
622	0.08691656629
623	0.0868041065
624	0.08678454645
625	0.08678066374
626	0.08673971742
627	0.08673227579
628	0.08672379285
629	0.08665476307
630	0.08663222982
631	0.08662336643
632	0.08660235254
633	0.08659235504
634	0.08657392738
635	0.08653246311
636	0.08648742766
637	0.08644480803
638	0.08643481258
639	0.0864097732
640	0.08630662001
641	0.08626333627
642	0.08624353653
643	0.0861906357
644	0.08618307845
645	0.08614057483
646	0.08611319282
647	0.08605099655
648	0.08598639724
649	0.08595650282
650	0.08593094029
651	0.08592971679
